TitleField1,TitleField2,TitleField3,TitleField4,TitleField5,SrAlias,ClientName,QNo,Site,PartDesc,Part,Field2,Field3,Field4,Field5,SerialNo,QuarantinedQty,PartLocation,NGLStockId,InboundDate,QuarantinedBy_Date,QuarantinedReason,CategoryName,QuarantinedOn1,QuarantineSource,CarrierName,TrackingNo,ASNRef,SubTotal,Total
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8194,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS16,1,  DEFAULTBIN, 33159186, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8195,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS17,1,  DEFAULTBIN, 33159187, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8196,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS18,1,  DEFAULTBIN, 33159188, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8197,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS19,1,  DEFAULTBIN, 33159189, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8198,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS20,1,  DEFAULTBIN, 33159190, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8199,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS21,1,  DEFAULTBIN, 33159191, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8200,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS22,1,  DEFAULTBIN, 33159192, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8201,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS23,1,  DEFAULTBIN, 33159193, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8202,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS24,1,  DEFAULTBIN, 33159194, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8203,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS25,1,  DEFAULTBIN, 33159195, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8204,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS26,1,  DEFAULTBIN, 33159196, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8205,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS27,1,  DEFAULTBIN, 33159197, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8206,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS28,1,  DEFAULTBIN, 33159198, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8207,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS29,1,  DEFAULTBIN, 33159199, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8208,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS30,1,  DEFAULTBIN, 33159200, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8209,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS31,1,  DEFAULTBIN, 33159201, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8210,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS32,1,  DEFAULTBIN, 33159202, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8211,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS33,1,  DEFAULTBIN, 33159203, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8212,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS34,1,  DEFAULTBIN, 33159204, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8213,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS35,1,  DEFAULTBIN, 33159205, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8214,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS36,1,  DEFAULTBIN, 33159206, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8215,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS37,1,  DEFAULTBIN, 33159207, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8216,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS38,1,  DEFAULTBIN, 33159208, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8217,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS39,1,  DEFAULTBIN, 33159209, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8218,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS40,1,  DEFAULTBIN, 33159210, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8219,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS41,1,  DEFAULTBIN, 33159211, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8220,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS42,1,  DEFAULTBIN, 33159212, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8221,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS43,1,  DEFAULTBIN, 33159213, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8222,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS44,1,  DEFAULTBIN, 33159214, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8223,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS45,1,  DEFAULTBIN, 33159215, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8224,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS46,1,  DEFAULTBIN, 33159216, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8225,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS47,1,  DEFAULTBIN, 33159217, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8226,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS48,1,  DEFAULTBIN, 33159218, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8227,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS49,1,  DEFAULTBIN, 33159219, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8228,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , MNS50,1,  DEFAULTBIN, 33159220, 04/13/2022,automation         04/15/2022,,,WOI - 1685244, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8229,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , A1B1,1,  DEFAULTBIN, 33159552, 04/20/2022,automation         04/20/2022,,,WOI - 1685370, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8230,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , A2B2,1,  DEFAULTBIN, 33159553, 04/20/2022,automation         04/20/2022,,,WOI - 1685370, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8231,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , A1B3,1,  DEFAULTBIN, 33159560, 04/20/2022,automation         04/21/2022,,,WOI - 1685485, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8232,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , A2B4,1,  DEFAULTBIN, 33159561, 04/20/2022,automation         04/21/2022,,,WOI - 1685485, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8238,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , SERIAL1655399559707,1,  AutoLocation, 33159745, 06/16/2022,automation         06/16/2022,,,WOI - 1685962, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8239,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , SERIAL1655402233790,1,  DEFAULTBIN, 33159746, 06/16/2022,automation         06/16/2022,,,WOI - 1685962, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8242,AUTOMATION RV, Part2, MN02, 04/17/2031, LB02, , , A1B3,1,  AUTOMATION, 33159554, 04/20/2022,automation         06/17/2022,,,WOI - 1685987, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8243,AUTOMATION RV, Part2, MN02, 04/17/2031, LB02, , , A2B4,1,  AUTOMATION, 33159555, 04/20/2022,automation         06/17/2022,,,WOI - 1685987, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8245,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , A1B5,1,  AUTOMATION, 33159674, 04/21/2022,automation         06/17/2022,,,WOI - 1686004, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8246,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , A2B6,1,  AUTOMATION, 33159675, 04/21/2022,automation         06/17/2022,,,WOI - 1686004, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8257,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , XX,1,  DEFAULTBIN, 33159767, 06/17/2022,automation         06/20/2022,,,WOI - 1688912, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8258,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , SERIAL1655440437263,1,  AUTOMATION, 33159750, 06/16/2022,automation         06/20/2022,,,WOI - 1688912, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8263,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , SERIAL1655444846974,1,  AUTOMATION, 33159757, 06/17/2022,automation         06/20/2022,,,WOI - 1688923, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8264,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , SERIAL1655454393591,1,  DEFAULTBIN, 33159760, 06/17/2022,automation         06/20/2022,,,WOI - 1688923, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8270,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , SERIAL1655699373945,1,  AUTOMATION, 33161237, 06/19/2022,automation         06/21/2022,,,WOI - 1688988, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8271,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , SERIAL1655704258577,1,  DEFAULTBIN, 33161249, 06/20/2022,automation         06/21/2022,,,WOI - 1688988, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8275,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , SERIALNO0,1,  AUTOMATION, 33161242, 06/20/2022,automation         06/21/2022,,,WOI - 1689005, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8276,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , SERIAL1655785714329,1,  AUTOMATION, 33161332, 06/20/2022,automation         06/21/2022,,,WOI - 1689005, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8279,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , SERIALNO1,1,  AUTOMATION, 33161243, 06/20/2022,automation         06/21/2022,,,WOI - 1689016, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8280,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , SERIAL1655786896080,1,  DEFAULTBIN, 33161337, 06/20/2022,automation         06/21/2022,,,WOI - 1689016, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8282,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , SERIALNO2,1,  AUTOMATION, 33161244, 06/20/2022,automation         06/21/2022,,,WOI - 1689032, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8283,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , SERIAL1655788203752,1,  DEFAULTBIN, 33161339, 06/21/2022,automation         06/21/2022,,,WOI - 1689032, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8285,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , SERIALNO3,1,  AUTOMATION, 33161245, 06/20/2022,automation         06/22/2022,,,WOI - 1689088, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8286,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , SERIAL1655792430379,1,  DEFAULTBIN, 33161345, 06/21/2022,automation         06/22/2022,,,WOI - 1689088, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8326,AUTOMATION RV, Part 1, MN01, 04/01/2032, LB01, , , SERIALNO4,1,  AUTOMATION, 33161246, 06/20/2022,automation         07/06/2022,,,WOI - 1691607, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8327,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , X3Y,1,  AUTOMATION, 33162095, 07/03/2022,automation         07/06/2022,,,WOI - 1691607, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8328,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , X15Y,1,  DEFAULTBIN, 33162107, 07/03/2022,automation         07/06/2022,,,WOI - 1691607, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8329,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , X16Y,1,  DEFAULTBIN, 33162108, 07/03/2022,automation         07/06/2022,,,WOI - 1691607, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8330,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , X17Y,1,  DEFAULTBIN, 33162109, 07/03/2022,automation         07/06/2022,,,WOI - 1691607, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8331,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , X18Y,1,  DEFAULTBIN, 33162110, 07/03/2022,automation         07/06/2022,,,WOI - 1691607, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,8332,AUTOMATION RV, Part 3, MN03, 04/01/2031, LB03, , , X19Y,1,  DEFAULTBIN, 33162111, 07/03/2022,automation         07/06/2022,,,WOI - 1691607, Cycle Count,,,,,82
MODEL NUMBER,EXPIRATION DATE,LOT/BATCH NUMBER,,,SERIAL #,AUTOMATION INVENTORY PROFILE,,,,,,,,,,,,,,,,,,,,,,82,82

